epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,3924.05,1.72729,1.33032,0.98444,0.48606,0.4592,0.43727,0.29523,1.7204,1.36528,1.0091,0.00034351,0.00034351,0.00034351
65,3984.97,1.77046,1.37475,0.98529,0.49934,0.46994,0.46319,0.31748,1.67331,1.32328,0.99802,0.000339629,0.000339629,0.000339629
66,4045.31,1.74893,1.35327,0.9839,0.55177,0.43676,0.46856,0.31631,1.69467,1.35404,1.00108,0.000335748,0.000335748,0.000335748
67,4105.86,1.72003,1.37272,0.97673,0.56361,0.45508,0.48146,0.33267,1.68748,1.34394,0.99917,0.000331867,0.000331867,0.000331867
68,4166.1,1.74695,1.35308,0.9905,0.52949,0.45169,0.48091,0.32893,1.67989,1.36511,1.0037,0.000327986,0.000327986,0.000327986
69,4225.1,1.71215,1.32011,0.98176,0.57258,0.4527,0.47802,0.3279,1.67026,1.33677,0.99827,0.000324106,0.000324106,0.000324106
70,4284.77,1.68741,1.31907,0.97918,0.54011,0.46307,0.48446,0.32385,1.69752,1.34781,1.00277,0.000320225,0.000320225,0.000320225
71,4345.84,1.70524,1.33261,0.99023,0.56403,0.45983,0.49263,0.33468,1.67396,1.32286,0.99781,0.000316344,0.000316344,0.000316344
72,4406.22,1.72524,1.308,0.98405,0.56574,0.44722,0.48396,0.32188,1.70271,1.3488,1.00205,0.000312463,0.000312463,0.000312463
73,4466.55,1.72563,1.29618,0.98386,0.5434,0.46549,0.47843,0.32626,1.67598,1.34349,0.99721,0.000308582,0.000308582,0.000308582
74,4526.66,1.74424,1.32059,0.97869,0.56276,0.44468,0.47486,0.32186,1.67907,1.33768,0.99629,0.000304702,0.000304702,0.000304702
75,4586.91,1.71303,1.31817,0.97811,0.58752,0.45379,0.4879,0.33412,1.67952,1.32764,0.99653,0.000300821,0.000300821,0.000300821
76,4646.2,1.68902,1.28651,0.98424,0.54238,0.48053,0.49683,0.34011,1.68361,1.31055,0.99546,0.00029694,0.00029694,0.00029694
77,4707.14,1.71757,1.30249,0.98054,0.56609,0.46655,0.50046,0.32864,1.67627,1.33726,0.99827,0.000293059,0.000293059,0.000293059
78,4767.07,1.68897,1.29341,0.98434,0.58154,0.458,0.48268,0.32477,1.6777,1.2976,0.99651,0.000289178,0.000289178,0.000289178
79,4826.9,1.69315,1.30227,0.97691,0.60057,0.46874,0.51515,0.35683,1.64391,1.27362,0.98735,0.000285298,0.000285298,0.000285298
